"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2019,"Alavés","La Liga","team",26,38,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,"https://fbref.com/en/squads/8d6fd021/2018-2019/Alaves-Stats"
2019,"Alavés","La Liga","opponent",26,38,48,496,161,32.5,13.05,4.24,0.08,0.26,17.6,26,6,6,53.2,48.6,0.1,-5.2,-6.6,"https://fbref.com/en/squads/8d6fd021/2018-2019/Alaves-Stats"
2019,"Amiens","Ligue 1","team",26,38,30,385,112,29.1,10.13,2.95,0.07,0.25,20,19,2,3,35.4,33,0.09,-5.4,-5,"https://fbref.com/en/squads/25622401/2018-2019/Amiens-Stats"
2019,"Amiens","Ligue 1","opponent",26,38,50,494,158,32,13,4.16,0.09,0.28,19.2,19,6,9,49.8,42.8,0.09,0.2,1.2,"https://fbref.com/en/squads/25622401/2018-2019/Amiens-Stats"
2019,"Angers","Ligue 1","team",24,38,42,442,144,32.6,11.63,3.79,0.08,0.26,18.8,19,5,10,50.7,42.8,0.1,-8.7,-5.8,"https://fbref.com/en/squads/69236f98/2018-2019/Angers-Stats"
2019,"Angers","Ligue 1","opponent",24,38,47,454,160,35.2,11.95,4.21,0.1,0.28,18.7,29,3,5,47.9,44,0.1,-0.9,0,"https://fbref.com/en/squads/69236f98/2018-2019/Angers-Stats"
2019,"Arsenal","Premier League","team",28,38,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56,0.12,8.9,9,"https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats"
2019,"Arsenal","Premier League","opponent",28,38,50,492,175,35.6,12.95,4.61,0.09,0.25,18.4,18,7,7,54.2,48.8,0.1,-4.2,-5.8,"https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats"
2019,"Atalanta","Serie A","team",27,38,75,637,214,33.6,16.76,5.63,0.11,0.34,16.6,16,2,4,72.2,69,0.11,2.8,4,"https://fbref.com/en/squads/922493f3/2018-2019/Atalanta-Stats"
2019,"Atalanta","Serie A","opponent",27,38,43,408,129,31.6,10.74,3.39,0.1,0.3,18.6,16,4,5,41.1,37.2,0.09,1.9,1.8,"https://fbref.com/en/squads/922493f3/2018-2019/Atalanta-Stats"
