"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2018,"Arsenal","team",30,38,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7
"Premier League","M","ENG",2018,"Bournemouth","team",22,38,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,6.2,5.6
"Premier League","M","ENG",2018,"Brighton","team",24,38,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37,31.8,0.09,-4,-3.8
"Premier League","M","ENG",2018,"Burnley","team",24,38,35,378,126,33.3,9.95,3.32,0.09,0.28,17,16,0,0,32.3,32.3,0.09,2.7,2.7
"Premier League","M","ENG",2018,"Chelsea","team",26,38,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52,0.09,5.6,5
"Premier League","M","ENG",2018,"Crystal Palace","team",28,38,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9
"Premier League","M","ENG",2018,"Everton","team",30,38,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,1.5,2.9
"Premier League","M","ENG",2018,"Huddersfield","team",25,38,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8
"Premier League","M","ENG",2018,"Leicester City","team",27,38,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50,45.3,0.11,3,2.7
"Premier League","M","ENG",2018,"Liverpool","team",27,38,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,9.1,9.4
"Premier League","M","ENG",2018,"Manchester City","team",25,38,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,24.4,24.3
"Premier League","M","ENG",2018,"Manchester Utd","team",27,38,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,11.3,12.7
"Premier League","M","ENG",2018,"Newcastle Utd","team",27,38,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9
"Premier League","M","ENG",2018,"Southampton","team",26,38,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6
"Premier League","M","ENG",2018,"Stoke City","team",30,38,34,380,122,32.1,10,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1
"Premier League","M","ENG",2018,"Swansea City","team",26,38,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8
"Premier League","M","ENG",2018,"Tottenham","team",25,38,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7
"Premier League","M","ENG",2018,"Watford","team",29,38,42,434,126,29,11.42,3.32,0.09,0.31,17.9,10,3,6,45,40.2,0.09,-3,-1.2
"Premier League","M","ENG",2018,"West Brom","team",24,38,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,15,1,1,36.5,35.7,0.1,-5.5,-5.7
"Premier League","M","ENG",2018,"West Ham","team",27,38,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,17,2,4,36.7,33.6,0.09,11.3,12.4
"Premier League","M","ENG",2018,"vs Arsenal","opponent",30,38,51,418,141,33.7,11,3.71,0.11,0.33,17.3,12,5,6,47.8,43.1,0.1,3.2,2.9
"Premier League","M","ENG",2018,"vs Bournemouth","opponent",22,38,60,544,167,30.7,14.32,4.39,0.11,0.35,17.4,15,2,3,59.2,56.8,0.11,0.8,1.2
"Premier League","M","ENG",2018,"vs Brighton","opponent",24,38,49,552,169,30.6,14.53,4.45,0.09,0.28,18.6,33,1,3,50.8,48.4,0.09,-1.8,-0.4
"Premier League","M","ENG",2018,"vs Burnley","opponent",24,38,38,565,156,27.6,14.87,4.11,0.06,0.22,18.6,13,3,5,51.2,47.7,0.09,-13.2,-12.7
"Premier League","M","ENG",2018,"vs Chelsea","opponent",26,38,36,375,115,30.7,9.87,3.03,0.09,0.3,18.3,11,2,2,33.8,32.2,0.09,2.2,1.8
"Premier League","M","ENG",2018,"vs Crystal Palace","opponent",28,38,53,464,168,36.2,12.21,4.42,0.11,0.3,17.4,20,2,2,48.2,46.7,0.1,4.8,4.3
"Premier League","M","ENG",2018,"vs Everton","opponent",30,38,58,536,174,32.5,14.11,4.58,0.1,0.32,18.8,19,3,5,52.4,48.7,0.09,5.6,6.3
"Premier League","M","ENG",2018,"vs Huddersfield","opponent",25,38,57,433,152,35.1,11.39,4,0.12,0.35,17.4,19,4,6,48.5,43.8,0.11,8.5,9.2
"Premier League","M","ENG",2018,"vs Leicester City","opponent",27,38,58,485,160,33,12.76,4.21,0.12,0.35,18.7,16,2,4,48.1,45,0.09,9.9,11
"Premier League","M","ENG",2018,"vs Liverpool","opponent",27,38,38,276,98,35.5,7.26,2.58,0.12,0.35,17.6,11,4,6,33.8,29,0.11,4.2,5
"Premier League","M","ENG",2018,"vs Manchester City","opponent",25,38,25,234,83,35.5,6.16,2.18,0.11,0.3,18.5,10,0,2,23.8,22.2,0.1,1.2,2.8
"Premier League","M","ENG",2018,"vs Manchester Utd","opponent",27,38,26,435,142,32.6,11.45,3.74,0.06,0.18,17.9,12,1,1,40.7,39.9,0.09,-14.7,-14.9
"Premier League","M","ENG",2018,"vs Newcastle Utd","opponent",27,38,44,471,142,30.1,12.39,3.74,0.08,0.28,17.5,13,4,6,52.4,47.6,0.1,-8.4,-7.6
"Premier League","M","ENG",2018,"vs Southampton","opponent",26,38,56,490,163,33.3,12.89,4.29,0.11,0.34,18.7,19,1,2,45.2,43.6,0.09,10.8,11.4
"Premier League","M","ENG",2018,"vs Stoke City","opponent",30,38,66,574,211,36.8,15.11,5.55,0.11,0.29,17.7,26,5,5,62.5,58.6,0.11,3.5,2.4
"Premier League","M","ENG",2018,"vs Swansea City","opponent",26,38,54,533,184,34.5,14.03,4.84,0.1,0.28,17.7,16,3,6,58.6,53.8,0.1,-4.6,-2.8
"Premier League","M","ENG",2018,"vs Tottenham","opponent",25,38,35,353,122,34.6,9.29,3.21,0.09,0.27,16.9,10,2,3,33.9,31.5,0.09,1.1,1.5
"Premier League","M","ENG",2018,"vs Watford","opponent",29,38,63,407,150,36.9,10.71,3.95,0.14,0.38,17,17,6,6,51.8,47.2,0.12,11.2,9.8
"Premier League","M","ENG",2018,"vs West Brom","opponent",24,38,54,515,153,29.7,13.55,4.03,0.1,0.35,18.9,28,1,1,47.9,47.1,0.09,6.1,5.9
"Premier League","M","ENG",2018,"vs West Ham","opponent",27,38,67,557,181,32.5,14.66,4.76,0.11,0.34,18.9,19,5,6,55.1,50.7,0.09,11.9,11.3
"Premier League","M","ENG",2019,"Arsenal","team",28,38,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56,0.12,8.9,9
"Premier League","M","ENG",2019,"Bournemouth","team",28,38,55,437,153,35,11.5,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,1.7,1.8
"Premier League","M","ENG",2019,"Brighton","team",21,38,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7
"Premier League","M","ENG",2019,"Burnley","team",23,38,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8
"Premier League","M","ENG",2019,"Cardiff City","team",25,38,33,413,113,27.4,10.87,2.97,0.07,0.27,17.7,13,3,4,42.4,39.2,0.1,-9.4,-9.2
"Premier League","M","ENG",2019,"Chelsea","team",24,38,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,30,5,5,58.6,54.6,0.09,2.4,1.4
"Premier League","M","ENG",2019,"Crystal Palace","team",26,38,48,482,135,28,12.68,3.55,0.08,0.28,18.4,16,10,11,47.6,39.2,0.08,0.4,-1.2
"Premier League","M","ENG",2019,"Everton","team",23,38,53,493,163,33.1,12.97,4.29,0.1,0.31,16.9,20,2,5,49.7,45.7,0.1,3.3,5.3
"Premier League","M","ENG",2019,"Fulham","team",28,38,33,451,140,31,11.87,3.68,0.07,0.22,19,10,2,3,41.3,39,0.09,-8.3,-8
"Premier League","M","ENG",2019,"Huddersfield","team",31,38,21,400,116,29,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28,0.07,-7.8,-8
"Premier League","M","ENG",2019,"Leicester City","team",25,38,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,19,5,7,52.4,47.3,0.1,-4.4,-4.3
"Premier League","M","ENG",2019,"Liverpool","team",23,38,86,568,211,37.1,14.95,5.55,0.14,0.37,17,20,7,7,73.7,68.4,0.12,12.3,10.6
"Premier League","M","ENG",2019,"Manchester City","team",21,38,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,21,3,4,84.3,81.3,0.12,6.7,6.7
